ICAO,IATA,Nome_Aeroporto,Cidade
BR-0001,,Tatamborá Flying Field,"Ponta da Sela, Ilhabela"
BR-0002,,Alegrete,
BR-0003,,Fazenda Cana Brava,
BR-0004,,Fazenda Sao Judas Tadeu,
BR-0005,,Iguatemi,
BR-0006,,Ilha Solteira,
BR-0007,,Irati,
BR-0008,,Planura,
BR-0009,,Ponta do Costa Airport,Cabo Frio
BR-0010,,Senhor Do Bonfim,
BR-0011,,Edmar Ferreira,Buriti Alegre
BR-0012,,Maisa Airport,Mossoró
BR-0013,,Fazenda Campo Oliva - Nhecolândia,Corumbá
BR-0014,,Nova Jacuí Airport,Salto do Jacuí
BR-0015,,Tucumã Airport,Tucumã
BR-0016,,Alexânia Municipal Airport,Alexânia
BR-0017,,Guarulhos - Sao Paulo Airport Marriott Heliport,
BR-0018,,Fasano Hotel Heliport,
BR-0019,,Fazenda Boa Vista Heliport,Porto Feliz
BR-0020,,Semp Toshiba Jordanésia Heliport,Cajamar
BR-0021,,Praia Grande Heliport,Fundão
BR-0022,,Fazenda Vale Verde,Nova Bandeirantes
BR-0023,,Bonfim Airport,Bonfim
BR-0024,,Fazenda Montenegro Airport,Chaves
BR-0025,,Punto do Carmo Airport,Chaves
BR-0026,,Afuá Municipal Airport,Afuá
BR-0027,,Anajás Airport,Anajás
BR-0028,,Povoado Airport,Salvaterra
BR-0029,,Campo Limpo Airport,Santo Antônio
BR-0030,,Cametá Airport,Cametá
BR-0031,,19P12 Airstrip,Anisio de Abreu
BR-0032,,São Domingos Airstrip,São Domingos
BR-0033,,Divinópolis de Goiás Airport,Divinópolis de Goiás
BR-0034,,Itajá Airstrip,Itajá
BR-0035,,Aporé Airstrip,Aporé
BR-0036,,Cedrolândia Airport,Senador José Porfírio
BR-0037,,Fazenda Primavera,Aporé
BR-0038,,Itaruma Airport,Itaruma
BR-0039,,Cachoeira Alta Airport,Cachoeira Alta
BR-0040,,Aerocéu Aviação Agrícola Airport,Chapadão do Céu
BR-0041,,Old Rondonópolis Airport,Rondonópolis
BR-0042,,Fazenda Santa Rita Airport,Itapirapuã
BR-0043,,Taxi Aero Airstrip,São Miguel do Araguaia
BR-0044,,Vila Isabel Airstrip,São Miguel do Araguaia
BR-0045,,Fazenda São Miguel Airstrip,São Miguel do Araguaia
BR-0046,,Novo Planalto Airport,Novo Planalto
BR-0047,,Teresina de Goiás Airport,Teresina de Goiás
BR-0048,,Caçu Airport,Caçu
BR-0049,,Fazenda Vale do Sol Airport,Serranópolis
BR-0050,,Portelândia Airstrip,Portelândia
BR-0051,,Baliza Airport,Baliza
BR-0052,,Bom Jardim de Goiás Airport,Bom Jardim de Goiás
BR-0053,,Piranhas Airport,Piranhas
BR-0054,,Caiapônia Airport,Caiapônia
BR-0055,,Tesouro Airport,Tesouro
BR-0056,,Guiratinga Airport,Guiratinga
BR-0057,,Guiratinga 2 Airport,Guiratinga
BR-0058,,Torixoréu Northwest Airport,Torixoréu
BR-0059,,Anicuns Airport,Anicuns
BR-0060,,Arenópolis Airstrip,Arenópolis
BR-0061,,Fazenda Água Fria Airfield,Xinguara
BR-0062,,Banaer Airport,Sete Barras
BR-0063,,Luiz Ribeiro Maia Airport,Tapauá
BR-0064,,Santo Antônio do Içá Airport,Santo Antônio do Içá
BR-0065,,Anori Airport,Anori
BR-0066,,Fordlândia Airport,Fordlândia
BR-0067,,Linha-dura Airport,Medicilândia
BR-0068,,Medicilândia Airport,Medicilândia
BR-0069,,São Luiz Airport,São Luiz
BR-0070,,Presidente Figueiredo Airport,Presidente Figueiredo
BR-0071,,Itapiranga Airport,Itapiranga
BR-0072,,Faro Airport,Faro
BR-0073,,Curuai Airport,Curuai
BR-0074,,Alta Floresta D'Oeste Airport,Alta Floresta D'Oeste
BR-0075,,Rolim de Moura Airport,Rolim de Moura
BR-0076,,São Miguel do Guaporé Airport,São Miguel do Guaporé
BR-0077,,Rondolândia Airport,Rondolândia
BR-0078,,Jaru Airport,Jaru
BR-0079,,Extrema Airport,Extrema
BR-0080,,Colorado do Oeste Airport,Colorado do Oeste
BR-0081,,Cerejeiras Airport,Cerejeiras
BR-0082,,Pimenteiras do Oeste Airport,Pimenteiras do Oeste
BR-0083,,Associação Aerodesportivo de Espigão d'Oeste Airport,Espigão d'Oeste
BR-0084,,Pixaim Airport,Pixaim
BR-0085,,Nova Mamoré Airport,Nova Mamoré
BR-0086,,Aeroclube de Buritis Airport,Buritis
BR-0087,,Guaraí Airport,Guaraí
BR-0088,,Presidente Kennedy Airport,Presidente Kennedy
BR-0089,,Brasilândia do Tocantins Airport,Brasilândia do Tocantins
BR-0090,,Colinas do Tocantins Airport,Colinas do Tocantins
BR-0091,,Nova Olinda Airport,Nova Olinda
BR-0092,,Porto Franco Heliport,Porto Franco
BR-0093,,Tocantinópolis Airport,Tocantinópolis
BR-0094,,Condomínio Guaporé II Heliport,Ribeirão Preto
BR-0095,,Fazenda Curitiba Airport,Correntina
BR-0096,,Fazenda Agrovera Airport,Porto dos Gaúchos
BR-0097,,Fazenda Santa Lucia Airport,Santa Maria das Barreiras
BR-0098,,Brasnorte Airport,Brasnorte
BR-0099,,Brianorte Airport,Brianorte
BR-0100,,Montes Altos Airport,Montes Altos
BR-0101,,Amarante do Maranhão Airstrip,Amarante do Maranhão
BR-0102,,Vitorino Freire Airport,Vitorino Freire
BR-0103,,Zé Doca Airport,Zé Doca
BR-0104,,Vargem Grande Airstrip,Vargem Grande
BR-0105,,Chapadinha Airport,Chapadinha
BR-0106,,Esperantina Airport,Esperantina
BR-0107,,Santa Quitéria do Maranhão Airport,Santa Quitéria do Maranhão
BR-0108,,Piripiri Airport,Piripiri
BR-0109,,Santa Quitéria Airport,Santa Quitéria
BR-0110,,Taiobeiras Municipal Airport,Taiobeiras
BR-0111,,Castanheira Airport,Castanheira
BR-0112,,Colniza Airport,Colniza
BR-0113,,Machadinho d'Oeste Airport,Machadinho d'Oeste
BR-0114,,Cunatama Airport,Cunatama
BR-0115,,Lagoa Nova Airport,Lagoa Nova
BR-0116,,Santa Cruz Airport,Santa Cruz
BR-0117,,Fazenda São Paulo dos Palmares Airport,Timburi
BR-0118,,Vila Operária Airport,Dom Aquino
BR-0119,,Ponte Branca Airport,Ponte Branca
BR-0120,,Ribeirãozinho Airport,Ribeirãozinho
BR-0121,,Bom Despacho Airport,Bom Despacho
BR-0122,,Old Vacaria Airport,Vacaria
BR-0123,,Fazenda Barra do Traitu Airport,Araçatuba
BR-0124,,Boa Vista Airport,Patrocínio
BR-0125,,Francisco Lazaro da Silveira Airport,Coromandel
BR-0126,,San Antonio Airport,São Luís de Montes Belos
BR-0127,,Ivolândia Airport,Ivolândia
BR-0128,,Haras São Pedro do Alto Heliport,Porto Feliz
BR-0129,,Zimba D. Pedro I Heliport,Itatiba
BR-0130,,ThomasiCamargo Heliport,Santa Rita do Passa Quatro
BR-0131,,Fazenda Brauna Airport,Arraias
BR-0132,,Tunui Airport,Tunui
BR-0133,,Itaberaí Go Airport,Itaberaí
BR-0134,,Sanclerlândia Airport,Sanclerlândia
BR-0135,,Goiás Airport,Goiás
BR-0136,,Itapuranga Airport,Itapuranga
BR-0137,,Uruana Airport,Uruana
BR-0138,,Morro Agudo de Goiás Airport,Morro Agudo de Goiás
BR-0139,,Asas de Balsa Nova Airport,Balsa Nova
BR-0140,,Mara Rosa Airport,Mara Rosa
BR-0141,,Amaralina Airport,Amaralina
BR-0142,,Mutunópolis Airport,Mutunópolis
BR-0143,,Santa Tereza de Goiás Airport,Santa Tereza de Goiás
BR-0144,,Talismã Airport,Talismã
BR-0145,,Araguaçu Airport,Araguaçu
BR-0146,,Figueirópolis Airport,Figueirópolis
BR-0147,,Alvorada Airport,Alvorada
BR-0148,,São Domingos Airport,Alvorada
BR-0149,,Formoso do Araguaia Airport,Formoso do Araguaia
BR-0150,,Formoso do Araguaia North Airport,Formoso do Araguaia
BR-0151,,Aliança do Tocantins Airport,Aliança do Tocantins
BR-0152,,Fátima Airport,Fátima
BR-0153,,Crixás Airport,Crixás
BR-0154,,Fazenda Rio Crixás Airport,Fazenda Rio Crixás
BR-0155,,Autazes Airport,Autazes
BR-0156,,Marreca Airport,Marreca
BR-0157,,Paranorte Airport,Paranorte
BR-0158,,Fontanillas Airport,Fotanillas
BR-0159,,Teles Pires Lodge Airport,Apiacás
BR-0160,,Genil Motta Airport,Itiquira
BR-0161,,Rio Verde de Mato Grosso Airport,Rio Verde de Mato Grosso
BR-0162,,Piraí do Sul Airport,Piraí do Sul
BR-0163,,Chapada Gaúcha Airport,Chapada Gaúcha
BR-0164,,Serra das Araras Airfield,Serra das Araras
BR-0165,,Pandeiros Airfield,Pandeiros
BR-0166,,São Francisco Airport,São Francisco
BR-0167,,Brasília de Minas Airstrip,Brasília de Minas
BR-0168,,Ermidinha Airport,Ermidinha
BR-0169,,Capitão Enéas Airfield,Capitão Enéas
BR-0170,,Coração de Jesus Airport,Coração de Jesus
BR-0171,,Fazenda Agropecuária Nossa Senhora Aparecida Airstrip,Paredão de Minas
BR-0172,,Fazenda Gleba da Barra Airport,Brasilândia de Minas
BR-0173,,Canabrava Airstrip,Canabrava
BR-0174,,Ama Heliport,Arujá
BR-0175,,Fazenda Boa Sorte Airport,Aliança do Tocantins
BR-0176,,Fazenda Rosa dos Ventos Airport,Itumbiara
BR-0177,,Fazenda Nictheroy Airport,Rio Branco
BR-0178,,Francisco Ramalho Airport,Pedreiras
BR-0179,,Caxias Airport,Caxias
BR-0180,,Itanhanga Golf Club Heliport,Rio de Janeiro
BR-0181,,Fazenda Santarém Airport,Bandeirantes
BR-0182,,Fazenda Roseira Airport,São Raimundo das Mangabeiras
BR-0183,,Aero Agricola Rio Claro Airport,São José do Rio Claro
BR-0184,,Arenápolis Airstrip,Arenápolis
BR-0185,,Altamira Airport,Cachoeira Da Serra
BR-0186,,Colombo III Heliport,Santa Albertina
BR-0187,,Hospital Geral de Palmares Heliport,Palmares
BR-0188,,Duets Helipad,Fortaleza
BR-0189,,Marina Verolme Heliport,Angra dos Reis
BR-0190,,Iguatemi Esplanada Heliport,Sorocaba
BR-0191,,Sérgio Bonifácio Airport,Ivaiporã
BR-0192,,Tamarana Metais Airport,Tamarana
BR-0193,,Cachoeira Porteira Airport,Cachoeira Porteira
BR-0194,,Ponta de Pedras Airstrip,Ponta de Pedras
BR-0195,,Muaná Airstrip,Muaná
BR-0196,,Curralinho Airstrip,Curralinho
BR-0197,,Fazenda Chapadão Alegre Airport,Correntina
BR-0198,,Fazenda Água Boa Airport,Juara
BR-0199,,Fazenda Estivado Airport,Diamantino
BR-0200,,Santa Terezinha de Goiás Airstrip,Santa Terezinha de Goiás
BR-0201,,Alto Horizonte Airport,Alto Horizonte
BR-0202,,Taipas do Tocantins Airstrip,Taipas do Tocantins
BR-0203,,Conceição do Tocantins Airstrip,Conceição do Tocantins
BR-0204,,Conceição do Tocantins West Airstrip,Conceição do Tocantins
BR-0205,,Bonfim Airstrip,Bonfim
BR-0206,,Natividade Airstrip,Natividade
BR-0207,,Mateiros Airport,Mateiros
BR-0208,,São Félix do Tocantins Airstrip,São Félix do Tocantins
BR-0209,,Galhão Airstrip,Galhão
BR-0210,,Dois Irmãos do Tocantins Airstrip,Dois Irmãos do Tocantins
BR-0211,,Caseara Airstrip,Caseara
BR-0212,,Pequizeiro Airstrip,Pequizeiro
BR-0213,,Colméia Airstrip,Colméia
BR-0214,,Itaporã do Tocantins Airstrip,Itaporã do Tocantins
BR-0215,,Bernardo Sayão Airstrip,Bernardo Sayão
BR-0216,,Bandeirantes do Tocantins Airstrip,Bandeirantes do Tocantins
BR-0217,,Palmeirante Airstrip,Palmeirante
BR-0218,,Goiatins Airstrip,Goiatins
BR-0219,,Arapoema Airstrip,Arapoema
BR-0220,,Avelino Remor Airstrip,Rio Maria
BR-0221,,Aragominas Airstrip,Aragominas
BR-0222,,Wanderlândia Airstrip,Wanderlândia
BR-0223,,Piraquê Airstrip,Piraquê
BR-0224,,Xambioá Airstrip,Xambioá
BR-0225,,Ananás Airstrip,Ananás
BR-0226,,Arinos Airstrip,Arinos
BR-0227,,Fazenda Panambi Airstrip,Buritis
BR-0228,,Fazenda Triunfo Airstrip,
BR-0229,,Jaíba Airstrip,Jaíba
BR-0230,,Montezuma Airport,Montezuma
BR-0231,,Cachoeira da Prata Airstrip,
BR-0232,,Vargem Grande do Rio Pardo Airstrip,Vargem Grande do Rio Pardo
BR-0233,,Trajanópolis Airstrip,Trajanópolis
BR-0234,,Jalles Machado Airstrip,
BR-0235,,Juscelândia Airstrip,Juscelândia
BR-0236,,Simplício Mendes Airstrip,Simplício Mendes
BR-0237,,Jaicós Airport,Jaicós
BR-0238,,Valença do Piauí Airport,Valença do Piauí
BR-0239,,Canavieira Airstrip,Canavieira
BR-0240,,Mirador Airstrip,Mirador
BR-0241,,Pedro II Airstrip,Pedro II
BR-0242,,Ipu Airstrip,Ipu
BR-0243,,Canindé Airstrip,Canindé
BR-0244,,Solonópole Airstrip,Solonópole
BR-0245,,Independência Airport,Independência
BR-0246,,Jaguaribe Airstrip,Jaguaribe
BR-0247,,Pau dos Ferros Airport,Pau dos Ferros
BR-0248,,Caraúbas Airstrip,Caraúbas
BR-0249,,Luís Antônio Fontenele - Cocal da Estação Airport,Cocal
BR-0250,,Fazenda Providência Airport,Rodolândia
BR-0251,,Fazenda Pertinho do Céu Airport,Guiratinga
BR-0252,,Fazenda Fusão Airport,Lábrea
BR-0253,,CADF Helipad,Brasília
BR-0254,,Lagoa Corporate Heliport,São Luís
BR-0255,,Fazenda Varnier Airport,Brasnorte
BR-0256,,Praia da Fazenda Heliport,Angra dos Reis
BR-0257,,Wai Wai Airstrip,Oriximiná
BR-0258,,Yanomami Airstrip,
BR-0259,,Japurá Airport,Japurá
BR-0260,,Madiberi Airstrip,Madiberi
BR-0261,,Governador José B. Lindoso Airport,Ipixuna
BR-0262,,Natal Airstrip,Natal
BR-0263,CJZ,Pedro Vieira Moreira Airport,Cajazeiras
BR-0264,,Matheus Lopes Maia da Silva Airport,Itamarati
BR-0265,,Sapucaí Heliport,Rio de Janeiro
BR-0266,,Savana Airport,Jaru
BR-0267,,Irmãos Gonçalves Airport,Jaru
BR-0268,,Poxoréo Airstrip,Poxoréo
BR-0269,,Fazenda Mutum Airstrip,Fazenda Mutum
BR-0270,,Barra Airstrip,Barra
BR-0271,,Santa Rita do Pardo Airstrip,Santa Rita do Pardo
BR-0272,,Fazenda São João Airstrip,
BR-0273,,Fazenda Porto Real Airstrip,
BR-0274,,New Arraias Airport,Arraias
BR-0275,,Lavandeira Airstrip,Lavandeira
BR-0276,,Almas Airstrip,Almas
BR-0277,,Pindorama do Tocantins Airstrip,Pindorama do Tocantins
BR-0278,,Cotegipe Airstrip,Cotegipe
BR-0279,,Wanderley Airstrip,Wanderley
BR-0280,,Fazenda Paraíso das Corredeiras Airstrip,
BR-0281,,Fazenda Santo Antônio da Serra do Boqueirão Airstrip,Wanderley
BR-0282,,Fazenda Miragem Airstrip,Wanderley
BR-0283,,Morpará Airstrip,Morpará
BR-0284,,Fazenda São José Airport,Poxoréo
BR-0285,,Cepasa Heliport,Jaboatão dos Guararapes
BR-0286,,Quick Alameda das Águas Heliport,Nova Lima
BR-0287,,Rio Alpha Heliport,Rio de Janeiro
BR-0288,,Fazenda Modelo Airstrip,Aurora do Pará
BR-0289,,Mãe do Rio Airstrip,Mãe do Rio
BR-0290,,Quatros Bocas Airport,Quatros Bocas
BR-0291,,Fazenda XV de Outubro,Colatina
BR-0292,,Haras Recanto dos Gypsies Heliport,Porto Feliz
BR-0293,,Fronteira Heliport,Ilhabela
BR-0294,,Fazenda Ressaca Airport,Cáceres
BR-0295,,Abunã Airstrip,Abunã
BR-0296,,Fazenda Nossa Senhora Aparecida Airport,Nova Ubiratã
BR-0297,,Cidade Eclética Airstrip,Cidade Eclética
BR-0298,,Fazenda do Leão,Corumbá de Goiás
BR-0299,,Itapirapuã Airport,Itapirapuã
BR-0300,,Uvá Airstrip,Uvá
BR-0301,,Fazenda Uvá Airport,Uvá
BR-0302,,Jucara Airport,Jussara
BR-0303,,Fazenda Santa Helena I Airstrip,Jussara
BR-0304,,Bandeirantes Airport,São José dos Bandeirantes
BR-0305,,Rio Araguaia Southwest Airport,
BR-0306,,Rio Araguaia Northeast airport,
BR-0307,,Gaelo Airport,Charqueadas
BR-0308,,Novo Santo Antônio Airport,Novo Santo Antônio
BR-0309,,Chopper Solution Heliport,Eusébio
BR-0310,,Fazenda Pirangi Airport,Nova Andradina
BR-0311,,Fazenda América Airstrip,Porto dos Gaúchos
BR-0312,,Base Aeroverde Airport,Rio Verde
BR-0313,,Fazenda Colorado,Bom Jesus
BR-0314,,Fazenda Santa Rita I Airport,Pedro Gomes
BR-0315,,Fazenda Ranchinho do Guaporé Airport,Pontes e Lacerda
BR-0316,,Fazenda Água Fria Heliport,Esmeraldas
BR-0317,,Itaquí Southeast Airport,Itaquí
BR-0318,,Cooperativa Lar Heliport,Medianeira
BR-0319,,Doze de Outubro Airport,Maués
BR-0320,,Quick Fazenda Cachoeira Heliport,Esmeraldas
BR-0321,,Celeiro 2 Airport,Gilbués
BR-0322,,Ninho do Bacurau,Bom Jesus da Lapa
BR-0323,,Difusora Heliport,São Luís
BR-0324,,Empresarial Charles Darwin Heliport,Recife
BR-0325,,Eco Fly Heliport,Ferraz de Vasconcelos
BR-0326,,Guatambu São Paulo Airport,São Paulo
BR-0327,,Fazenda Retiro do Bom Fim Airport,Ipiaçu
BR-0328,,Águas Finas Heliport,Paudalho
BR-0329,,Estância Colorado Heliport,Sales Oliveira
BR-0330,,Fazenda Vargem Bonita de Cima Airstrip,João Pinheiro
BR-0331,,Porto dos Sonhos Heliport,Armação de Búzios
BR-0332,,Bahiamido Heliport,Laje
BR-0333,,Fazenda Sagarana Airport,Correntina
BR-0334,,Fazenda Brusque Airport,São Félix do Xingu
BR-0335,,Fazenda Carrapato Airport,Itapipoca
BR-0336,,Iporanga Heliport,Campos do Jordão
BR-0337,,Ambipar Heliport,Nova Odessa
BR-0338,,Spazio Faria LimaHeliport,São Paulo
BR-0339,,Fazenda Rancho Alegre I Airport,Vila Bela da Santíssima Trindade
BR-0340,,Fazenda Vô Zeca Airport,Santa Terezinha
BR-0341,,Fazenda Santa Terezinha I,Santa Terezinha
BR-0342,,Fazenda Chapada Grande Airport,Regeneração
BR-0343,,Fazenda Angical Heliport,Nordestina
BR-0344,,Castello 54 Heliport,Araçariguama
BR-0345,,AVL Heliport,Conceição de Macabu
BR-0346,,Fazenda Americana Airport,Barra do Corda
BR-0347,,SENAI/SESI/CNI Heliport,Brasília
BR-0348,,Amazônia Heliport,Barueri
BR-0349,,BMR Medical Heliport,Campina Grande do Sul
BR-0350,,Fazenda Bela Vista Airport,Novo Horizonte do Sul
BR-0351,,Eco Aviação Heliport,Belo Horizonte
BR-0352,,N. S. A. Heliport,Campos do Jordão
BR-0353,,Fazenda Dois Irmãos Airport,Naviraí
BR-0355,,Helinorte,São Paulo
BR-0356,,Fazenda Guadiana Airport,Martinópolis
BR-0357,,Evolution Corporate Heliport,Barueri
BR-0358,,Hospital Zona Norte Heliport,Manaus
BR-0359,,Fundação Bradesco Heliport,Campinas
BR-0360,,Fazenda Valença Airport,Rio Negro
BR-0361,,Hellix Business Center Heliport,Itaboraí
BR-0362,,REC Berrini Helipad,São Paulo
BR-0363,,Fazenda Santana Airport,Riachão das Neves
BR-0364,,Adecoagro Airport,Angélica
BR-0365,,Usina Santa Luzia Airport,Nova Alvorada do Sul
BR-0366,,Fazenda São José Airport,Porto Murtinho
BR-0367,,Grupo Petrópolis Heliport,Petrópolis
BR-0368,,Fazenda Mucambo Airport,Baldim
BR-0369,,Fazenda Gaivota Airport,Paranatinga
BR-0370,,Ceta Ecotel Heliport,Macapá
BR-0371,,A2 Aviação Agrícola Ltda Airport,Alta Floresta
BR-0372,,Jeová Gomes Airport,Limoeiro do Norte
BR-0373,,Conde Heliport,Nova Lima
BR-0374,,Ji Paraná Tradição Heliport,Ji-Paraná
BR-0375,,Fazenda Ouro Branco Airport,Porto dos Gaúchos
BR-0376,,Ajarani 2 Airstrip,Iracema
BR-0377,,Unimed Heliport,Campo Grande
BR-0378,,MGX Florestal Airport,Ninheira
BR-0379,,Dois Irmãos Heliport,Recife
BR-0380,,Fazenda Diamante Airport,Baixa Grande do Ribeiro
BR-0381,,Fazenda São João do Pirajá Airstrip,Currais
BR-0382,,Cananéia Heliport,Cananéia
BR-0383,,HTO - Horto da Paz Heliport,Itapecerica da Serra
BR-0384,,Fazenda Locks Airport,Nova Maringá
BR-0385,,Gravatá Heliport,Gravatá
BR-0386,,Clube CÉU Airport,Rio de Janeiro
BR-0387,,Fazenda Poças Airport,Santo Antônio do Leverger
BR-0388,,Interpolos Heliport,Timbó
BR-0389,,Hospital Regional do Sertão Central Heliport,Quixeramobim
BR-0390,,Condomínio Edifício Paulista Plaza Heliport,São Paulo
BR-0391,,Pista Fogoió,Itaituba
BR-0392,,SESC Triunfo Heliport,Triunfo
BR-0393,,Villa Otto Baumgart Heliport,Campos do Jordão
BR-0394,,Praia do Paiva Heliport,Jaboatão dos Guararapes
BR-0395,,Sierra Wriskey Victor Romeu Heliport,Penalva
BR-0396,,Central Engenharia Heliport,São Luís
BR-0397,,Simão Sarkis Simão Airport,Três Marias
BR-0398,,Haras RM Heliport,Aquiraz
BR-0399,,Tenoar Airport,Chapadão do Sul
BR-0400,,Fazenda Reserva Airstrip,Ribas do Rio Pardo
BR-0401,,Centro Brasileiro de Aviação Agrícola Experimental e Recreativo (CBAAER) Airport,Brasília
BR-0402,,Condomínio Fly Vila Resort Airport,Guapé
BR-0403,,Rio Pardo Heliport,Iaras
BR-0404,,JN Resort Airport,Sete Lagoas
BR-0405,,Fazenda São José Airport,São Gabriel
BR-0406,,Sucupira Helipad,São Paulo
BR-0407,,Geraldo Alvino Covre Airport,Pinheiros
BR-0408,,J Lem Airport,Luís Eduardo Magalhães
BR-0409,,Wessel Heliport,Araçariguama
BR-0410,,Fazenda Serra Azul Airport,Rosário Oeste
BR-0411,,Fazenda Barra Grande Airport,Confresa
BR-0412,,Fazenda Pato Branco Airport,São Gabriel do Oeste
BR-0413,,Hangar 77 Heliport,Guabiruba
BR-0414,,Muraro Airport,Itupeva
BR-0415,,Fazenda Tropical Airport,Brasilândia
BR-0416,,Destro Macro Heliport,Curitiba
BR-0417,,Continental Tower Helipad,São Paulo
BR-0418,,Fazenda DIMEP Airport,Itatinga
BR-0419,,Agéo Fazenda Capitão do Mato Heliport,Nova Lima
BR-0420,,Fazenda São João Heliport,Jaú
BR-0421,,Fazenda Furnas Airport,Chapada dos Guimarães
BR-0422,,Aerorancho Airport,Brasília
BR-0423,,Fazenda Guanabara Airport,Rio Negro
BR-0424,,Fazenda Três Lagoas Airport,Itapecerica
BR-0425,,Fazenda Vale Verde Airport,Vista Alegre do Abunã
BR-0426,,Fazenda Lagoa Clara Airport,São Desidério
BR-0427,,Palazzo Lumini Helipad,Curitiba
BR-0428,,Fazenda Santa Lydia Airstrip,Diamante do Norte
BR-0429,,Spasse Helipad,Ribeirão Preto
BR-0430,,Maremanga Heliport,Salvador
BR-0431,,Fazenda São Miguel Airport,Campo Verde
BR-0432,,Comandante Jorge Mello Airport,Bom Jesus da Lapa
BR-0433,,Fazenda Igurê Helipad,Gália
BR-0434,,Fazenda Colorado Airport,Aruanã
BR-0435,,Metropolitan Helipad,Goiânia
BR-0436,,Supermercados BH Helipad,Contagem
BR-0437,,Santa Maria Airport,Barão de Melgaço
BR-0438,,Louzandes Heliport,Silvânia
BR-0439,,Santa Mônica Heliport,Colombo
BR-0440,,Fazenda Nova Fartura Airport,Planalto da Serra
BR-0441,,Antônio Covre Airport,Itabela
BR-0442,,Fazenda Nossa Senhora Medianeira Airport,Naviraí
BR-0443,,Vila Nova Airport,Joinville
BR-0444,,Cabanha Umbú Airport,Barra do Quaraí
BR-0445,,Estancia Irmãos Martins Airport,Tupã
BR-0446,,Edifício The One Helipad,Belo Horizonte
BR-0447,,Vale da Providência Airport,Rodolândia
BR-0448,,Usina Vale do Tijuco Airport,Uberaba
BR-0449,,Fazenda Uval Airport,Corumbá
BR-0450,,Ribeira Heliport,Ubatuba
BR-0451,,Fazenda Palmeira Airport,Alto Taquari
BR-0452,,Fazenda Aerovilas Airport,Divinópolis
BR-0453,,Piraquê I Helipad,Rio de Janeiro
BR-0454,,Fazenda São João Airport,Pontes e Lacerda
BR-0455,,Praia da Costa Helipad,Vila Velha
BR-0457,,Bela Vista Heliport,Santa Cruz do Capibaribe
BR-0458,,Torre Boulevard Helipad,Belo Horizonte
BR-0459,,Fazenda Centrino Airport,Cabixi
BR-0460,,Fazenda Cedro Airport,Campo Grande
BR-0461,,Condomínio Aeronáutico Aeroagro Airport,Sorriso
BR-0462,,SC Araras Heliport,Petrópolis
BR-0463,,Fazenda Liberdade Airport,Querência
BR-0464,,Stratus Ale Airport,Natal
BR-0465,,Fazenda Arizona,Formosa do Rio Preto
BR-0466,,Fazenda Balada Airstrip,João Pinheiro
BR-0467,,Batalhão de Operações Aéreas do CBMSC Heliport,Aéreas do CBMSC
BR-0468,,Fazenda Brusque Airport,Fazenda Brusque
BR-0469,,Moro Golf Club Heliport,Ponta Grossa
BR-0470,,BS Tower Helipad,Fortaleza
BR-0471,,Fazenda Santa Inês Heliport,Espírito Santo do Pinhal
BR-0472,,Belo Horizonte Airport,Araçás
BR-0473,,Fazenda Coqueiros Heliport,Florestal
BR-0474,,Pingo D'Água Heliport,Angra dos Reis
BR-0475,,Helvétia MF,Indaiatuba
BR-0476,,Fazenda Progresso Airport,Paragominas
BR-0477,,Dom Pedro Business Park Heliport,Atibaia
BR-0478,,Ilha das Flores Airport,Alta Floresta d'Oeste
BR-0479,,Helibrusque Heliport,Brusque
BR-0480,,Fazenda Ventania Airport,Campos de Júlio
BR-0481,,Parque Maeda Heliport,Itu
BR-0482,,Frade 1 Heliport,Angra dos Reis
BR-0483,,CJB Curitiba Heliport,Curitiba
BR-0484,,Agéo Zazenda Paraopeba Heliport,Paraopeba
BR-0485,,Helimater Heliport,Angra dos Reis
BR-0486,,Fazenda Ponte Serrada Airport,Campo Novo do Parecis
BR-0487,,Concórdia Corporate Helipad,Nova Lima
BR-0488,,Catuama II Heliport,Goiana
BR-0489,,Fazenda Monte Dourado Airport,São Félix do Xingu
BR-0490,,Edifício Prime Business Center Helipad,Franca
BR-0491,,Soufer Paulínia Heliport,Paulínia
BR-0492,,Pampas Heliport,Canela
BR-0493,,Palacio Guanabara Heliport,Rio de Janeiro
BR-0494,,Cidade Empresarial Helipad,Aparecida de Goiânia
BR-0495,,Fazenda Cresciumal Airport,Leme
BR-0496,,Fazenda Turazzi Airport,Pontes e Lacerda
BR-0497,,Hospital Estadual Mário Covas Helipad,Santo André
BR-0498,,Hospital Estadual Mário Covas Helipad,Santo André
BR-0499,,Kuehlmeyer Heliport,São Gonçalo do Amarante
BR-0500,,Fazenda Candelária Airport,Vila Bela da Santíssima Trindade
BR-0501,,Fazenda Floresta Airport,Santo Antônio da Barra
BR-0502,,Fazenda Santa Clara Airport,Castanheira
BR-0503,,Fazenda Santo Antônio Airport,Barreiras
BR-0504,,Fazenda Palmares 2 Airport,Barreiras
BR-0505,,Pavão Heliport,Guarulhos
BR-0506,,Guararema Heliport,Guararema
BR-0507,,Fazenda Andorinha Airport,Estrela do Norte
BR-0508,,Fazenda Retiro Velho Airport,Porto Murtinho
BR-0509,,Sítio Ouro Preto Airport,Vassouras
BR-0510,,Fazenda Vó Zita do Rio Vermelho Airport,Corumbá
BR-0511,,Ipiranga Airport,Alto Taquari
BR-0512,,Fazenda Alice Airport,Sambaíba
